product_id,product_name,category,description,rating,eco_friendly,price,brand
1,Sustainable Fashion,Toys,Eco-friendly product with natural ingredients,3.8,Yes,49.25,BioStyle
2,Reusable Coffee Cup,Household,Sustainable and organic,4.4,Yes,45.6,SunPower
3,Eco-Friendly Laundry Detergent,Household,Ethically sourced and produced,3.7,Yes,25.64,GreenClean
4,Eco Shampoo,Personal Care,Non-toxic and safe,4.2,Yes,41.79,GreenLeaf
5,Reusable Bag,Sports,Non-toxic and safe,4.0,Yes,39.61,FreshEarth
6,Reusable Bag,Outdoor,Low impact on the environment,4.0,Yes,35.51,EcoCarry
7,Compostable Cutlery,Toys,Sustainable and organic,4.2,Yes,19.39,GreenLeaf
8,Eco-Friendly Notebook,Clothing,Energy-efficient and green,4.6,Yes,13.84,EcoCarry
9,Solar-Powered Gadgets,Beauty,Eco-friendly product with natural ingredients,3.6,Yes,35.22,PureLife
10,Eco-Friendly Laundry Detergent,Food,Energy-efficient and green,4.8,Yes,42.93,EcoFlex
11,Eco-Friendly Tote Bag,Health,Made with renewable resources,4.6,Yes,5.73,SunPower
12,Solar Charger,Beauty,Made with renewable resources,3.8,Yes,33.93,BioStyle
13,Organic Bedding,Electronics,Made with renewable resources,4.9,Yes,24.93,EcoCarry
14,Biodegradable Phone Case,Home Improvement,Low impact on the environment,4.3,Yes,45.41,PlanetCare
15,Eco-Friendly Packaging,Outdoor,Reusable and eco-conscious,5.0,Yes,19.47,GreenClean
16,Eco-Friendly Packaging,Office Supplies,Low impact on the environment,3.8,Yes,26.34,EarthWise
17,Sustainable Fashion,Household,Eco-friendly product with natural ingredients,4.3,Yes,28.16,PlanetCare
18,Organic Soap,Office Supplies,Reusable and eco-conscious,3.9,Yes,11.32,PlanetCare
19,Biodegradable Phone Case,Clothing,Made with renewable resources,4.0,Yes,37.08,PureLife
20,Compostable Cutlery,Toys,Made with renewable resources,4.4,Yes,42.37,EarthWise
21,Organic Bedding,Personal Care,Reusable and eco-conscious,4.9,Yes,7.61,PlanetCare
22,Energy-Efficient Light Bulbs,Outdoor,Low impact on the environment,4.7,Yes,18.11,FreshEarth
23,Eco-Friendly Packaging,Pet Supplies,Sustainable and organic,4.6,Yes,6.71,PlanetCare
24,Bamboo Utensil Set,Beauty,Made from recycled materials,4.3,Yes,48.04,EarthWise
25,Organic Cotton Towel,Home Improvement,Made with renewable resources,4.9,Yes,35.02,EcoCarry
26,Organic Skincare,Food,Eco-friendly product with natural ingredients,4.2,Yes,48.39,SunPower
27,Reusable Straw,Food,Ethically sourced and produced,4.8,Yes,28.92,SunPower
28,Eco-Friendly Notebook,Household,Energy-efficient and green,4.8,Yes,41.09,Nature’s Best
